Artist,Title,Style,Duration,lien
Dick Rivers,J'en Suis Fou,Rock,140,Genius
Dick Rivers,Dans Ma Vallée,Rock,175,Genius
Dick Rivers,Mais Oui Baby,Rock,105,Genius
Dick Rivers,Mes Ennuis,Rock,110,Genius
Dick Rivers,Laisse Parler Ton Coeur,Rock,110,Genius
Dick Rivers,Ça Ne S'oublie Pas,Rock,140,Genius
Dick Rivers,Baby John,Rock,150,Genius
Dick Rivers,Voulez Vous Danser?,Rock,130,Genius
Dick Rivers,On A Juste L'âge,Rock,150,Genius
Dick Rivers,Je Rentre Tout Seul,Rock,155,Genius
Dick Rivers,Rien Que Toi,Rock,175,Genius
Dick Rivers,Quand Je L'Ai Vue Devant Moi,Rock,145,Genius
Dick Rivers,Ne Lui Dis Rien,Rock,170,Genius
Dick Rivers,Tout Le Monde Sait Tout,Rock,115,Genius
Dick Rivers,Si Jamais,Rock,155,Genius
Dick Rivers,Oublie-Le,Rock,125,Genius
Dick Rivers,Amour De Neige,Rock,150,Genius
Dick Rivers,What'd I Say,Rock,315,Pas sur Genius
Dick Rivers,Je Croyais,Rock,115,Genius
Dick Rivers,Maintenant Tu Veux Partir,Rock,150,Genius
Dick Rivers,Tu N' Est Plus Là,Rock,145,Pas sur Genius
Dick Rivers,La Fille Dont Je Rêvais,Rock,170,Genius
Dick Rivers,Twist And Shout,Rock,135,Pas sur Genius
Dick Rivers,Je Ne Suis Plus Rien Sans Toi,Rock,,Genius
Dick Rivers,Entre Nous C’est Fini,Rock,,Genius
Dick Rivers,Si Un Jour,Rock,,Genius
Dick Rivers,Tout Ira Très Bien,Rock,,Pas sur Genius
Dick Rivers,Chaque Nuit,Rock,,Genius
Dick Rivers,Ces Mots Qu’on Oublie Un Jour,Rock,,Genius
Dick Rivers,Je T’aime Trop,Rock,,Genius
Dick Rivers,La Seule Que Me Tient,Rock,,Pas sur Genius
Dick Rivers,Mais Je T’aime,Rock,,Genius
Dick Rivers,Tobacco Road,Rock,,Genius
Dick Rivers,Moi Je Peux,Rock,,Genius
CLAUDE FRANCOIS,CETTE ANNEE LA,VF,173,
SERGE LAMA,JE SUIS MALADE,VF,249,
BARBARA,"L'AIGLE NOIR
",VF,298,
"JOHNNY HALLYDAY
","REQUIEM POUR UN FOU
",VF,290,
"PARTENAIRE PARTICULIER
","PARTENAIRE PARTICULIER
",VF,248,
LARA FABIAN,"PAR AMOUR",VF,198,
"CLAUDIO CAPEO
","DIS LE MOI",VF,266,
"HOSHI
","TA MARINIERE
",VF,223,
NIAGARA,"QUAND LA VILLE DORT
",VF,231,
AMIR,LONGTEMPS,VF,219,
"RENAN LUCE
","LES VOISINES
",VF,224,
Francis Cabrel,Je l’aime à mourir,VF,166,
DANIEL GUICHARD,MON VIEUX,VF,209,
DANIEL BALAVOINE,SAUVER L'AMOUR,VF,266,
JEAN JACQUES LAFON,LE GEANT DE PAPIER,VF,190,
JENIFER,NOTRE IDYLLE,VF,188,
ALAIN SOUCHON,FOULE SENTIMENTALE,VF,325,
AXELLE RED,SENSUALITE,VF,232,
DE PALMAS,SUR LA ROUTE,VF,283,
LOUANE,SI T'ETAIS LA,VF,154,
EDDY MITCHELL,COULEUR MENTHE A L'EAU,VF,211,
DALIDA ,PAROLES PAROLES,VF,246,
CELINE DION,POUR QUE TU M'AIMES ENCORE,VF,255,
GAROU,"SEUL
",VF,267,
LAURENT VOULZY,Belle-Île-En-Mer Marie-Galante,VF,311,
MICHEL BERGER,LA GROUPIE DU PIANISTE,VF,283,
Jacques Brel,Amsterdam,VF,203,
PASCAL OBISPO,TOMBE POUR ELLE,VF,247,
Renaud,Mistral gagnant,VF,183,
MARC LAVOINE,"TOI MON AMOUR
",VF,215,
Jean-jacques goldman,Quand la music est bonne,VF,217,
images,les demons de minuit,VF,223,
Jean-Pierre Mader,Macumba,VF,216,
Laroche Valmont,T'As Le Look Coco,VF,196,
Desireless,Voyage Voyage,VF,264,
Nuit de folie,Nuit de folie,VF,243,
Renaud,Toujours debout,VF,223,
Renaud,Dès que le vent soufflera,VF,266,
Renaud,Manhattan Kaboul,VF,222,
Francis Cabrel,dans chaque coeur,VF,305,
Francis Cabrel,la corrida,VF,334,
Marc Lavoine,Elle a les yeux revolver,VF,218,
Marc Lavoine,C’est ça la France,VF,260,
Marc Lavoine,Chère Amie,VF,214,
Luna parker,Tes états d’âme... Éric,VF,195,
Jacques Brel,Ces gens-là,VF,223,
Jacques Brel,La Chanson des vieux amants,VF,272,
